L,g_int,g_mass,g,energy,mag_energy,el_energy,int_energy,mass_energy
4,1,0,1.8,1.950306341,,,,
4,1,0,1.9,1.759562662,,,,
4,1,0,2,1.591004674,,,,
4,1,0,2.1,1.441832402,,,,
4,1,0,2.2,1.309576337,,,,
4,1,0,2.3,1.192080853,,,,
4,1,0,2.4,1.087475164,,,,
4,1,0,2.5,0.994140533,,,,
4,1,0,2.6,0.910678025,,,,
4,1,0,2.7,0.835878746,,,,
4,1,0,2.8,0.768697292,,,,
4,1,0,2.9,0.708228552,,,,
4,1,1,0.1,-6.696377986,,,,
4,1,1,0.2,-3.550103819,,,,
4,1,1,0.3,-0.493531169,,,,
4,1,1,0.4,2.428388892,,,,
4,1,1,0.5,5.160074549,,,,
4,1,1,0.6,7.588910562,,,,
4,1,1,0.7,8.98228101,,,,
4,1,1,0.8,8.832356292,,,,
4,1,1,0.9,8.240307264,,,,
4,1,1,1,7.553754683,,,,
4,1,1,1.1,6.878939277,,,,
4,1,1,1.2,6.253275287,,,,
4,1,1,1.3,5.687597345,,,,
4,1,1,1.4,5.181907325,,,,
4,1,1,1.5,4.731946442,,,,
4,1,1,1.6,4.332054296,,,,
4,1,1,1.7,3.976417695,,,,
4,1,1,1.8,3.65959309,,,,
4,1,1,1.9,3.376695343,,,,
4,1,1,2,3.123434062,,,,
4,1,1,2.1,2.896083155,,,,
4,1,1,2.2,2.69142443,,,,
4,1,1,2.3,2.506684541,,,,
4,1,1,2.4,2.33947407,,,,
4,1,1,2.5,2.187732332,,,,
4,1,1,2.6,2.049679028,,,,
4,1,1,2.7,1.923772664,,,,
4,1,1,2.8,1.80867516,,,,
4,1,1,2.9,1.703221903,,,,
